log_date,app_name,user_id
2019-06-01,game-01,116
2019-06-01,game-01,13491
2019-06-01,game-01,7006
2019-06-01,game-01,117
2019-06-01,game-01,13492
2019-06-01,game-01,9651
2019-06-01,game-01,1
2019-06-01,game-01,3
2019-06-01,game-01,6
2019-06-01,game-01,11
2019-06-01,game-01,17
2019-06-01,game-01,18
2019-06-01,game-01,19
2019-06-01,game-01,28
2019-06-01,game-01,33
2019-06-01,game-01,34
2019-06-01,game-01,35
2019-06-01,game-01,37
2019-06-01,game-01,47
2019-06-01,game-01,50
2019-06-01,game-01,57
2019-06-01,game-01,71
2019-06-01,game-01,75
2019-06-01,game-01,89
2019-06-01,game-01,92
2019-06-01,game-01,94
2019-06-01,game-01,101
2019-06-01,game-01,105
2019-06-01,game-01,122
2019-06-01,game-01,123
2019-06-01,game-01,128
2019-06-01,game-01,144
2019-06-01,game-01,146
2019-06-01,game-01,151
2019-06-01,game-01,157
2019-06-01,game-01,158
2019-06-01,game-01,159
2019-06-01,game-01,160
2019-06-01,game-01,164
2019-06-01,game-01,172
2019-06-01,game-01,173
2019-06-01,game-01,174
2019-06-01,game-01,183
2019-06-01,game-01,184
2019-06-01,game-01,186
2019-06-01,game-01,188
2019-06-01,game-01,189
2019-06-01,game-01,197
2019-06-01,game-01,203
2019-06-01,game-01,210
2019-06-01,game-01,214
2019-06-01,game-01,220
2019-06-01,game-01,226
2019-06-01,game-01,229
2019-06-01,game-01,235
2019-06-01,game-01,237
2019-06-01,game-01,238
2019-06-01,game-01,243
2019-06-01,game-01,245
2019-06-01,game-01,246
2019-06-01,game-01,249
2019-06-01,game-01,255
2019-06-01,game-01,257
2019-06-01,game-01,259
2019-06-01,game-01,264
2019-06-01,game-01,267
2019-06-01,game-01,268
2019-06-01,game-01,273
2019-06-01,game-01,277
2019-06-01,game-01,281
2019-06-01,game-01,282
2019-06-01,game-01,286
2019-06-01,game-01,292
2019-06-01,game-01,298
2019-06-01,game-01,304
2019-06-01,game-01,305
2019-06-01,game-01,307
2019-06-01,game-01,309
2019-06-01,game-01,311
2019-06-01,game-01,317
2019-06-01,game-01,325
2019-06-01,game-01,337
2019-06-01,game-01,339
2019-06-01,game-01,350
2019-06-01,game-01,351
2019-06-01,game-01,354
2019-06-01,game-01,356
2019-06-01,game-01,364
2019-06-01,game-01,372
2019-06-01,game-01,375
2019-06-01,game-01,377
2019-06-01,game-01,391
2019-06-01,game-01,392
2019-06-01,game-01,393
2019-06-01,game-01,396
2019-06-01,game-01,397
2019-06-01,game-01,398
2019-06-01,game-01,399
2019-06-01,game-01,403
2019-06-01,game-01,414
2019-06-01,game-01,418
2019-06-01,game-01,422
2019-06-01,game-01,426
2019-06-01,game-01,435
2019-06-01,game-01,438
2019-06-01,game-01,442
2019-06-01,game-01,446
2019-06-01,game-01,457
2019-06-01,game-01,458
2019-06-01,game-01,459
