install_date,app_name,user_id
2019-04-15,game-01,1
2019-04-15,game-01,2
2019-04-15,game-01,3
2019-04-15,game-01,4
2019-04-15,game-01,5
2019-04-15,game-01,6
2019-04-15,game-01,7
2019-04-15,game-01,8
2019-04-15,game-01,9
2019-04-15,game-01,10
2019-04-15,game-01,11
2019-04-15,game-01,12
2019-04-15,game-01,13
2019-04-15,game-01,14
2019-04-15,game-01,15
2019-04-15,game-01,16
2019-04-15,game-01,17
2019-04-15,game-01,18
2019-04-15,game-01,19
2019-04-15,game-01,20
2019-04-15,game-01,21
2019-04-15,game-01,22
2019-04-15,game-01,23
2019-04-15,game-01,24
2019-04-15,game-01,25
2019-04-16,game-01,26
2019-04-16,game-01,27
2019-04-16,game-01,28
2019-04-16,game-01,29
2019-04-16,game-01,30
2019-04-16,game-01,31
2019-04-16,game-01,32
2019-04-16,game-01,33
2019-04-16,game-01,34
2019-04-16,game-01,35
2019-04-16,game-01,36
2019-04-16,game-01,37
2019-04-16,game-01,38
2019-04-16,game-01,39
2019-04-16,game-01,40
2019-04-16,game-01,41
2019-04-16,game-01,42
2019-04-16,game-01,43
2019-04-16,game-01,44
2019-04-16,game-01,45
2019-04-16,game-01,46
2019-04-16,game-01,47
2019-04-16,game-01,48
2019-04-16,game-01,49
2019-04-16,game-01,50
2019-04-16,game-01,51
2019-04-16,game-01,52
2019-04-16,game-01,53
2019-04-16,game-01,54
2019-04-16,game-01,55
2019-04-16,game-01,56
2019-04-16,game-01,57
2019-04-16,game-01,58
2019-04-16,game-01,59
2019-04-16,game-01,60
2019-04-16,game-01,61
2019-04-16,game-01,62
2019-04-16,game-01,63
2019-04-16,game-01,64
2019-04-16,game-01,65
2019-04-16,game-01,66
2019-04-16,game-01,67
2019-04-16,game-01,68
2019-04-16,game-01,69
2019-04-16,game-01,70
2019-04-16,game-01,71
2019-04-16,game-01,72
2019-04-16,game-01,73
2019-04-16,game-01,74
2019-04-16,game-01,75
2019-04-16,game-01,76
2019-04-16,game-01,77
2019-04-16,game-01,78
2019-04-16,game-01,79
2019-04-16,game-01,80
2019-04-16,game-01,81
2019-04-16,game-01,82
2019-04-16,game-01,83
2019-04-16,game-01,84
2019-04-16,game-01,85
2019-04-16,game-01,86
2019-04-16,game-01,87
2019-04-16,game-01,88
2019-04-16,game-01,89
2019-04-16,game-01,90
2019-04-16,game-01,91
